Anzsic,Anzsic_description,Period,Data_value,Variable,Units,Gas,Status
DD1,"Electricity, gas, water, and waste services",2019Q4,1861,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2020Q1,2061,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2020Q2,1996,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2020Q3,2561,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2020Q4,1938,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2021Q1,2376,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2021Q2,2749,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2021Q3,1966,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2021Q4,1396,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2014Q1,223,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2014Q2,226,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2014Q3,254,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2014Q4,235,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2015Q1,240,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2015Q2,240,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2015Q3,229,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2015Q4,233,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2016Q1,238,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2016Q2,253,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2016Q3,266,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2016Q4,299,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2017Q1,314,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2017Q2,292,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2017Q3,328,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2017Q4,384,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2018Q1,371,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2018Q2,400,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2018Q3,399,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2018Q4,418,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2019Q1,395,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2019Q2,382,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2019Q3,378,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2019Q4,398,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2020Q1,378,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2020Q2,267,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2020Q3,421,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2020Q4,404,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2021Q1,404,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2021Q2,417,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2021Q3,364,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2021Q4,405,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2014Q1,2073,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2014Q2,2085,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2014Q3,2126,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2014Q4,2142,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2015Q1,2191,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2015Q2,2247,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2015Q3,2227,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2015Q4,2276,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2016Q1,2229,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2016Q2,2245,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2016Q3,2328,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2016Q4,2296,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2017Q1,2338,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2017Q2,2374,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2017Q3,2414,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2017Q4,2372,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2018Q1,2443,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2018Q2,2422,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2018Q3,2364,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2018Q4,2438,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2019Q1,2416,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2019Q2,2468,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2019Q3,2519,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2019Q4,2458,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2020Q1,2378,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2020Q2,1518,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2020Q3,1777,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
